,jahr,name,zufr,vorb_f,vorb_p,prob,urt,zus,konf
0,2006,Büelrain,4.815,4.177,4.065,4.277,4.2,4.154,3.738
1,2006,Enge,4.746,4.074,3.926,4.493,4.437,3.986,3.761
2,2006,Freudenberg,4.316,4.0,3.868,4.526,4.658,4.079,3.842
3,2006,Glattal,4.833,3.941,4.118,4.5,4.333,3.722,3.444
4,2006,Hohe Promenade,5.091,4.758,4.636,4.706,4.706,4.0,4.0
5,2006,Hottingen,4.051,3.5,3.711,3.974,4.0,3.821,3.513
6,2006,Im Lee,4.676,4.406,3.971,4.603,4.473,3.836,3.493
7,2006,KME,5.037,4.173,4.257,4.309,4.185,3.963,3.407
8,2006,Küsnacht,5.095,4.119,4.524,4.738,5.095,4.0,4.048
9,2006,Liceo Artistico,5.45,4.579,4.895,4.95,4.95,4.95,4.263
10,2006,Limmattal,5.155,4.714,4.429,4.408,4.806,4.361,3.764
11,2006,Oerlikon,4.716,4.082,4.0,4.419,4.486,4.203,3.878
12,2006,Rämibühl LG,4.5,4.061,4.182,4.412,4.353,4.147,3.824
13,2006,Rämibühl MNG,4.981,5.0,4.51,4.615,4.558,4.096,3.846
14,2006,Rämibühl RG,4.667,3.831,4.0,4.167,4.533,4.22,3.65
15,2006,Rychenberg,4.588,4.152,3.826,4.529,4.49,4.078,3.824
16,2006,Stadelhofen,4.849,3.757,4.114,4.301,4.562,4.356,4.0
17,2006,Wiedikon,4.345,3.569,3.647,4.127,4.036,4.255,3.909
18,2006,Zürich Birch,4.35,3.8,4.35,4.45,4.55,4.35,4.25
19,2006,Zürcher Oberland,4.843,4.25,4.027,4.438,4.587,4.306,3.653
20,2006,Zürcher Unterland,4.892,4.179,3.923,4.244,4.494,4.398,3.651
