,Parkhaus Jelmoli,Parkhaus City Parking,Parkhaus Opéra,Parkhaus Hohe Promenade,Parkhaus Hauptbahnhof,time
96,180.0,509.0,248.5,423.0,137.0,08:00:00
97,178.0,496.0,240.0,414.0,129.0,08:15:00
98,173.0,476.5,229.5,406.5,119.5,08:30:00
99,162.5,453.0,216.5,400.0,114.5,08:45:00
100,142.5,430.5,205.0,385.5,110.5,09:00:00
101,124.0,412.5,188.0,377.0,105.5,09:15:00
102,105.0,392.0,178.0,363.0,101.5,09:30:00
103,74.5,376.0,162.5,352.0,98.0,09:45:00
104,52.0,363.0,146.0,339.5,96.0,10:00:00
105,28.5,348.0,135.0,324.5,89.5,10:15:00
106,9.0,337.0,124.0,320.0,85.5,10:30:00
107,3.5,330.5,110.0,314.5,81.0,10:45:00
108,0.0,322.5,105.0,303.5,79.0,11:00:00
109,0.0,306.5,97.0,293.5,76.5,11:15:00
110,0.0,297.0,93.5,291.0,76.0,11:30:00
111,0.0,282.5,78.0,280.0,72.0,11:45:00
112,0.0,268.5,64.0,264.0,68.0,12:00:00
113,0.0,256.5,48.0,251.0,68.5,12:15:00
114,0.0,240.0,29.5,250.0,65.0,12:30:00
115,0.0,228.0,21.5,249.0,65.0,12:45:00
116,0.0,220.5,21.5,242.0,62.0,13:00:00
117,0.0,214.5,19.0,243.0,59.0,13:15:00
118,0.0,203.5,19.0,238.5,53.5,13:30:00
119,0.0,201.0,13.5,239.0,52.5,13:45:00
120,1.5,204.0,12.5,241.0,48.5,14:00:00
121,0.0,193.0,24.5,240.5,48.5,14:15:00
122,0.0,190.0,40.5,248.5,49.0,14:30:00
123,0.0,184.5,42.0,247.5,49.0,14:45:00
124,0.0,195.5,53.5,244.0,58.5,15:00:00
125,0.0,203.5,61.0,251.5,62.5,15:15:00
126,0.0,206.0,69.5,256.0,61.5,15:30:00
127,1.5,219.0,83.5,262.0,62.5,15:45:00
128,2.0,227.5,83.0,269.5,68.5,16:00:00
129,6.5,232.0,86.5,282.5,72.0,16:15:00
130,18.5,241.5,90.0,291.0,75.0,16:30:00
131,17.0,249.5,98.0,295.5,77.0,16:45:00
132,26.5,254.0,101.5,300.5,80.5,17:00:00
133,28.5,268.0,111.0,307.5,86.0,17:15:00
134,25.5,273.5,112.5,317.0,86.5,17:30:00
135,33.0,283.5,106.0,319.5,83.0,17:45:00
136,37.5,288.5,104.5,318.5,84.5,18:00:00
137,28.0,294.0,95.5,312.5,84.5,18:15:00
138,15.5,296.5,79.5,304.5,77.5,18:30:00
139,9.5,290.0,73.0,305.5,73.5,18:45:00
140,7.0,292.0,61.5,304.5,70.0,19:00:00
141,13.0,282.0,58.5,299.0,69.5,19:15:00
142,19.0,275.0,47.5,296.5,68.0,19:30:00
143,17.5,275.0,52.5,294.0,71.5,19:45:00
