,Parkhaus Opéra,time
96,248.5,08:00:00
97,240.0,08:15:00
98,229.5,08:30:00
99,216.5,08:45:00
100,205.0,09:00:00
101,188.0,09:15:00
102,178.0,09:30:00
103,162.5,09:45:00
104,146.0,10:00:00
105,135.0,10:15:00
106,124.0,10:30:00
107,110.0,10:45:00
108,105.0,11:00:00
109,97.0,11:15:00
110,93.5,11:30:00
111,78.0,11:45:00
112,64.0,12:00:00
113,48.0,12:15:00
114,29.5,12:30:00
115,21.5,12:45:00
116,21.5,13:00:00
117,19.0,13:15:00
118,19.0,13:30:00
119,13.5,13:45:00
120,12.5,14:00:00
121,24.5,14:15:00
122,40.5,14:30:00
123,42.0,14:45:00
124,53.5,15:00:00
125,61.0,15:15:00
126,69.5,15:30:00
127,83.5,15:45:00
128,83.0,16:00:00
129,86.5,16:15:00
130,90.0,16:30:00
131,98.0,16:45:00
132,101.5,17:00:00
133,111.0,17:15:00
134,112.5,17:30:00
135,106.0,17:45:00
136,104.5,18:00:00
137,95.5,18:15:00
138,79.5,18:30:00
139,73.0,18:45:00
140,61.5,19:00:00
141,58.5,19:15:00
142,47.5,19:30:00
143,52.5,19:45:00
