,day,time,Parkgarage am Central,Parkhaus Bleicherweg,Parkhaus City Parking,Parkhaus Globus,Parkhaus Hauptbahnhof,Parkhaus Hohe Promenade,Parkhaus Jelmoli,Parkhaus Opéra,Parkhaus Park Hyatt,Parkhaus Stampfenbach,Parkhaus Talgarten,Parkhaus USZ Nord,Parkhaus Urania,Parkhaus Utoquai,Parkplatz USZ Süd
240,5,08:00:00,36.5,180.5,525.0,125.0,158.0,462.5,191.5,262.5,224.5,177.5,91.0,121.0,401.0,91.0,74.0
241,5,08:15:00,33.5,180.5,512.0,123.0,153.0,459.5,187.0,258.5,224.5,177.5,89.5,120.5,400.0,91.0,72.5
242,5,08:30:00,33.5,179.5,495.0,115.0,148.0,455.5,178.0,252.5,222.0,173.5,87.5,116.5,394.5,90.0,70.0
243,5,08:45:00,33.5,177.0,471.5,98.0,146.0,447.0,160.5,247.0,219.5,172.5,84.0,115.0,372.5,87.5,66.5
244,5,09:00:00,28.5,174.5,447.0,72.0,142.0,438.5,128.5,233.5,217.0,172.0,77.0,113.0,347.0,86.0,65.0
245,5,09:15:00,28.5,171.5,424.0,50.0,138.0,434.0,79.5,217.0,217.0,170.0,70.5,110.0,314.5,85.0,62.0
246,5,09:30:00,26.5,169.0,399.0,36.5,131.0,432.0,32.0,203.0,214.5,169.0,64.0,107.0,282.0,84.5,59.5
247,5,09:45:00,26.5,164.0,371.0,25.0,127.0,421.0,0.0,187.5,212.0,169.0,55.0,102.5,249.0,83.5,54.0
248,5,10:00:00,19.5,162.5,337.0,6.5,122.0,405.5,0.0,175.5,204.5,170.0,40.0,98.0,197.5,83.0,51.0
249,5,10:15:00,19.5,158.5,305.5,0.5,113.0,398.5,0.0,159.0,199.5,168.0,25.5,95.5,131.0,82.5,49.5
250,5,10:30:00,18.0,158.5,277.5,0.0,104.0,386.0,0.0,152.5,194.5,168.0,14.0,95.5,75.0,79.5,47.0
251,5,10:45:00,17.0,153.5,235.0,0.0,95.0,368.5,0.0,142.5,189.5,168.5,7.5,93.5,31.5,77.5,46.5
252,5,11:00:00,17.0,152.5,198.5,0.0,88.0,355.0,0.0,128.0,187.0,170.0,4.0,93.5,0.0,76.5,44.5
253,5,11:15:00,17.0,145.5,163.0,0.0,83.0,341.0,0.0,109.5,179.5,169.5,0.0,92.5,1.5,75.0,43.0
254,5,11:30:00,13.0,140.0,128.5,0.0,71.0,317.5,0.0,88.5,177.0,169.5,0.0,93.5,3.0,76.5,43.0
255,5,11:45:00,9.5,134.5,91.5,0.0,50.0,301.5,0.0,73.0,167.0,169.0,0.0,92.0,0.5,79.5,43.5
256,5,12:00:00,5.0,126.0,61.5,0.0,36.0,282.0,0.0,49.5,159.5,170.0,0.0,92.5,1.5,78.5,43.0
257,5,12:15:00,3.5,119.0,33.0,0.0,36.0,264.0,0.0,37.0,152.0,172.0,0.0,92.5,0.5,75.5,44.0
258,5,12:30:00,3.5,107.5,12.5,0.0,19.0,236.0,0.0,29.5,147.0,173.0,0.0,93.5,0.5,77.0,45.0
259,5,12:45:00,1.0,100.0,7.5,1.5,8.0,224.0,0.0,25.5,142.0,173.0,1.0,98.0,2.0,77.5,42.5
260,5,13:00:00,1.5,88.5,8.0,0.5,6.0,210.5,0.0,13.5,132.0,173.0,0.5,94.0,0.0,79.0,41.0
261,5,13:15:00,1.5,75.0,7.0,0.5,8.0,180.5,0.0,3.5,127.0,173.0,0.0,94.0,0.5,77.0,37.5
262,5,13:30:00,0.0,65.5,12.0,0.0,0.0,162.0,0.0,3.0,119.5,172.5,0.0,87.5,0.0,77.0,32.5
263,5,13:45:00,1.5,52.5,6.0,0.0,5.0,144.0,0.0,4.5,117.0,172.5,0.5,84.0,0.5,103.0,25.5
264,5,14:00:00,1.0,42.0,8.0,0.0,3.0,106.0,0.0,2.5,112.0,170.5,0.0,80.0,0.0,98.0,21.5
265,5,14:15:00,0.0,36.0,13.5,0.0,2.0,94.0,0.0,2.0,109.5,169.5,0.0,78.0,0.5,96.5,17.0
266,5,14:30:00,2.0,29.0,9.5,0.0,1.0,81.0,0.0,0.0,109.5,168.0,0.0,73.0,1.5,93.0,14.5
267,5,14:45:00,1.5,29.0,8.5,0.0,0.0,60.0,0.0,4.5,112.0,168.0,0.0,67.0,5.0,88.0,13.5
268,5,15:00:00,1.5,42.0,12.0,0.0,3.0,54.5,0.0,2.0,104.5,169.5,0.5,68.0,1.5,88.5,10.0
269,5,15:15:00,2.0,43.0,13.0,0.0,6.0,47.0,0.0,5.0,97.0,169.0,0.0,67.0,1.0,88.0,9.5
270,5,15:30:00,0.5,42.5,17.0,0.0,2.0,55.0,0.0,7.5,102.0,171.0,0.0,72.0,1.5,85.5,9.5
271,5,15:45:00,0.5,51.0,15.0,0.5,1.0,62.0,0.0,11.5,104.5,170.0,0.0,73.5,0.0,83.5,11.0
