,day,time,Parkgarage am Central,Parkhaus Bleicherweg,Parkhaus City Parking,Parkhaus Globus,Parkhaus Hauptbahnhof,Parkhaus Hohe Promenade,Parkhaus Jelmoli,Parkhaus Opéra,Parkhaus Park Hyatt,Parkhaus Stampfenbach,Parkhaus Talgarten,Parkhaus USZ Nord,Parkhaus Urania,Parkhaus Utoquai,Parkplatz USZ Süd
96,2,08:00:00,33.5,99.0,509.0,122.0,137.0,423.0,180.0,248.5,179.5,142.0,57.0,93.0,352.0,59.5,45.5
97,2,08:15:00,33.5,90.0,496.0,118.5,129.0,414.0,178.0,240.0,169.5,135.0,55.0,81.0,337.0,56.5,33.5
98,2,08:30:00,33.5,85.0,476.5,117.0,119.5,406.5,173.0,229.5,162.0,120.5,47.5,71.0,324.0,52.0,28.0
99,2,08:45:00,33.5,74.0,453.0,112.5,114.5,400.0,162.5,216.5,157.0,119.5,41.0,57.0,312.5,48.5,17.0
100,2,09:00:00,30.5,66.0,430.5,104.0,110.5,385.5,142.5,205.0,144.5,114.5,30.0,42.0,290.5,47.5,7.5
101,2,09:15:00,26.5,57.5,412.5,97.0,105.5,377.0,124.0,188.0,134.5,110.5,19.0,32.0,279.0,42.5,0.0
102,2,09:30:00,20.5,43.5,392.0,86.5,101.5,363.0,105.0,178.0,124.5,109.5,12.5,24.0,262.5,39.0,0.0
103,2,09:45:00,18.5,37.0,376.0,72.5,98.0,352.0,74.5,162.5,117.0,107.5,9.5,14.5,242.5,32.5,0.0
104,2,10:00:00,18.5,31.0,363.0,59.0,96.0,339.5,52.0,146.0,112.0,104.0,2.5,4.5,223.0,30.5,0.0
105,2,10:15:00,18.5,25.5,348.0,46.0,89.5,324.5,28.5,135.0,102.0,100.0,3.5,2.5,202.0,27.5,0.5
106,2,10:30:00,18.5,21.0,337.0,40.5,85.5,320.0,9.0,124.0,97.0,101.0,1.0,1.5,181.5,26.5,0.0
107,2,10:45:00,18.5,18.5,330.5,33.0,81.0,314.5,3.5,110.0,94.5,101.0,0.5,2.5,165.5,34.5,0.5
108,2,11:00:00,18.5,16.0,322.5,27.0,79.0,303.5,0.0,105.0,92.0,98.5,0.0,1.0,141.5,33.0,0.5
109,2,11:15:00,18.5,18.5,306.5,12.5,76.5,293.5,0.0,97.0,89.5,95.5,0.0,3.5,123.5,27.5,0.5
110,2,11:30:00,16.5,19.5,297.0,7.0,76.0,291.0,0.0,93.5,87.0,91.5,0.5,13.5,102.0,25.5,4.0
111,2,11:45:00,10.5,21.5,282.5,0.5,72.0,280.0,0.0,78.0,82.0,89.0,0.0,23.5,81.5,20.0,4.0
112,2,12:00:00,9.5,21.5,268.5,1.0,68.0,264.0,0.0,64.0,79.5,90.5,0.0,32.0,71.0,15.5,13.5
113,2,12:15:00,5.5,16.5,256.5,1.0,68.5,251.0,0.0,48.0,74.5,91.0,0.5,38.0,60.5,14.0,13.0
114,2,12:30:00,3.5,15.5,240.0,3.5,65.0,250.0,0.0,29.5,74.5,91.0,0.5,38.0,48.0,13.5,13.5
115,2,12:45:00,4.5,17.0,228.0,0.0,65.0,249.0,0.0,21.5,72.0,91.0,0.0,40.5,27.5,13.5,7.0
116,2,13:00:00,3.5,17.5,220.5,3.5,62.0,242.0,0.0,21.5,69.5,89.5,0.0,33.0,15.0,13.0,5.0
117,2,13:15:00,0.0,16.5,214.5,3.5,59.0,243.0,0.0,19.0,62.0,90.0,1.0,23.0,9.0,12.0,3.0
118,2,13:30:00,0.0,16.5,203.5,2.0,53.5,238.5,0.0,19.0,59.5,89.0,0.0,12.0,9.0,20.0,0.0
119,2,13:45:00,1.0,18.5,201.0,2.5,52.5,239.0,0.0,13.5,62.0,89.0,1.5,5.0,11.5,22.5,0.0
120,2,14:00:00,1.0,15.5,204.0,3.0,48.5,241.0,1.5,12.5,67.0,90.5,1.5,0.0,19.0,26.0,0.0
121,2,14:15:00,3.5,15.0,193.0,4.0,48.5,240.5,0.0,24.5,57.0,96.5,1.5,3.0,17.0,28.0,0.0
122,2,14:30:00,4.5,11.5,190.0,5.0,49.0,248.5,0.0,40.5,57.0,95.0,3.5,0.5,30.0,29.5,0.5
123,2,14:45:00,4.5,14.5,184.5,8.5,49.0,247.5,0.0,42.0,59.5,94.5,3.0,0.0,38.0,29.5,0.5
124,2,15:00:00,4.5,19.5,195.5,4.5,58.5,244.0,0.0,53.5,62.0,94.5,5.0,0.0,43.0,32.0,0.0
125,2,15:15:00,4.5,19.5,203.5,6.0,62.5,251.5,0.0,61.0,64.5,94.5,1.5,2.5,55.5,33.5,0.0
126,2,15:30:00,5.5,23.5,206.0,14.0,61.5,256.0,0.0,69.5,64.5,92.0,5.0,0.5,75.0,36.5,0.0
127,2,15:45:00,6.5,23.5,219.0,13.0,62.5,262.0,1.5,83.5,64.5,95.5,7.5,12.5,86.0,37.5,0.0
128,2,16:00:00,6.5,25.5,227.5,19.5,68.5,269.5,2.0,83.0,67.0,100.0,3.0,18.5,107.0,39.0,0.5
129,2,16:15:00,6.5,31.0,232.0,30.5,72.0,282.5,6.5,86.5,69.5,106.5,7.0,31.5,127.0,38.0,2.5
130,2,16:30:00,6.5,37.5,241.5,36.5,75.0,291.0,18.5,90.0,72.0,113.0,7.5,35.0,143.5,44.0,7.5
131,2,16:45:00,8.0,41.5,249.5,35.5,77.0,295.5,17.0,98.0,74.5,120.5,6.5,50.5,151.0,50.5,10.0
132,2,17:00:00,9.0,45.0,254.0,38.5,80.5,300.5,26.5,101.5,82.0,125.0,7.0,57.0,161.5,51.0,15.5
133,2,17:15:00,15.5,48.0,268.0,38.0,86.0,307.5,28.5,111.0,87.0,134.0,5.5,66.0,172.5,52.5,22.0
134,2,17:30:00,15.5,50.5,273.5,43.5,86.5,317.0,25.5,112.5,89.5,140.0,6.5,74.0,176.5,57.0,29.0
135,2,17:45:00,15.5,56.0,283.5,51.5,83.0,319.5,33.0,106.0,97.0,142.0,11.0,80.5,188.0,82.0,38.5
136,2,18:00:00,15.5,61.0,288.5,57.0,84.5,318.5,37.5,104.5,99.5,147.0,7.5,81.0,183.5,105.5,37.0
137,2,18:15:00,19.0,101.0,294.0,60.5,84.5,312.5,28.0,95.5,107.0,149.0,6.0,79.0,178.5,107.5,34.5
138,2,18:30:00,19.0,103.0,296.5,60.5,77.5,304.5,15.5,79.5,114.5,150.5,6.0,86.5,173.5,110.0,34.5
139,2,18:45:00,19.0,109.0,290.0,52.0,73.5,305.5,9.5,73.0,124.5,151.5,9.0,86.5,164.0,111.5,31.0
140,2,19:00:00,19.0,114.0,292.0,50.5,70.0,304.5,7.0,61.5,132.0,151.5,4.0,83.0,155.5,111.0,33.5
141,2,19:15:00,19.0,119.5,282.0,53.0,69.5,299.0,13.0,58.5,137.0,156.0,0.0,86.0,158.5,110.0,30.0
142,2,19:30:00,19.0,121.5,275.0,59.0,68.0,296.5,19.0,47.5,142.0,160.5,0.5,86.5,151.0,109.5,27.0
143,2,19:45:00,17.5,123.0,275.0,68.0,71.5,294.0,17.5,52.5,144.5,160.5,1.0,91.0,157.0,108.5,33.5
