Gemeinde,Ort,PLZ,Strasse / Nr.,Ensemble,Objekt,GVZ Nr.,Einstufung,Festsetzung,Erlass,Schutz,Grundbucheintrag
Gemeinde,Ort,PLZ,Strasse / Nr.,Ensemble,Objekt,GVZ Nr.,Einstufung,Datum Erlass,Erlass,Eigentumsbeschränkung,Grundbucheintrag
Adlikon,Adlikon,8452,Steimerlenstrasse 4,,"Bauernhaus, ehem.",2100046,-,,,PD,16/11/1981
Adlikon,Dätwil,8452,Hauptstrasse 18,"Adlikon: Mühle/Bauernhaus, ehem.",Hausteil 2,2100149,-,,,PD,23/11/1977
Adlikon,Dätwil,8452,,Ossingen/Adlikon: Bahnhofanlage Ossingen mit Eisenbahnviadukt; Ossingen/Adlikon: Eisenbahnbrücke über die Thur,"Eisenbahnbrücke über die Thur, südliche Hälfte",,kantonal,19/12/1979,RRB 5113/1979 Liste Kanton,-,
Adlikon,Niederwil,8452,Andelfingerstrasse 11; Andelfingerstrasse 9,,"Bauernhaus, ehem.",2100092,regional,19/12/1979,RRB Nr. 5113/1979 Liste Kanton,PD,24/1/1977
Adlikon,Niederwil,8452,Oberwilerstrasse 4,,Bauernhaus,2100096,-,,,PD,10/3/1978
Adliswil,Adliswil,8134,Buttenaustrasse 1,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 1,13100102,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 10,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 10,13101056,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 12,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 12,13100110,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 2,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 2,13100130,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 4,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 4,13101053,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 40,,Wohnhaus,13100086,-,,,PD,30/11/1981
Adliswil,Adliswil,8134,Buttenaustrasse 6,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 6,13101054,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 7,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 7,13100108,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 8,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 8,13101055,regional,,,-,
Adliswil,Adliswil,8134,Buttenaustrasse 9,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Buttenaustrasse 9,13100105,regional,,,-,
Adliswil,Adliswil,8134,Fabrikhof MSA; Webereistrasse 55; Webereistrasse 57; Webereistrasse 59; Webereistrasse 61; Webereistrasse 63; Webereistrasse 65; Webereistrasse 67; Webereistrasse 69; Webereistrasse 71,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal,Hauptgebäude von 1862,13100458,regional,19/12/1979,"RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton",ÖREB,6/7/2016
Adliswil,Adliswil,8134,Grundstrasse 14,,Methodistenkapelle,13100569,regional,19/12/1979,"RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton",ÖREB,7/5/1992
Adliswil,Adliswil,8134,Kanalweg 65,,Trafostation N 290-Turm,13100065,regional,,,-,
Adliswil,Adliswil,8134,Kilchbergstrasse 2,Adliswil: Ehem. Wirtshaus «Zum Bierhaus» mit Nebengebäude,Ehem. Wirtshaus,13100500,-,,,PD,6/10/1999
Adliswil,Adliswil,8134,Kilchbergstrasse 2 bei,Adliswil: Ehem. Wirtshaus «Zum Bierhaus» mit Nebengebäude,"Ehem. Werkstattgebäude, sog. «Uhrenmacherhüsli»",13100501,-,,,PD,6/10/1999
Adliswil,Adliswil,8134,Kirchstrasse,,"Kirche, ref.",13100540,kantonal,19/12/1979,"RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton",-,
Adliswil,Adliswil,8134,Kronenstrasse 1,,Hausteil 1,13100504,-,,,PD,20/1/1999
Adliswil,Adliswil,8134,Rellstenstrasse 2,,"Kirche, kath. Dreifaltigkeitskirche",13100393,kantonal,19/12/1979,"RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton",PD,15/8/2012
Adliswil,Adliswil,8134,Schulhausstrasse 3,Adliswil: Schulanlage Zentrum/Kronenwiese,Sekundarschulhaus Kronenwiese,13100698,regional,,,-,
Adliswil,Adliswil,8134,Schulhausstrasse 4,Adliswil: Schulanlage Zentrum/Kronenwiese,Realschulhaus Kronenwiese,13101182,regional,3/1/2005,BDV Nr. 0355/2005 Einzelaufstufung,ÖREB,28/2/2005
Adliswil,Adliswil,8134,Schulhausstrasse 5,Adliswil: Schulanlage Zentrum/Kronenwiese,Turnhalle,13100697,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 1,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 1,13100101,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 10,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 10,13101052,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 11,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 11,13101047,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 13,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 13,13101048,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 14,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 14,13100103,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 15,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 15,13100094,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 16,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 16,13101041,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 17,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 17,13101040,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 18,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser,Kosthaus Sihlaustrasse 18,13101042,regional,,,-,
Adliswil,Adliswil,8134,Sihlaustrasse 19,Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser,Wohnhaus Sihlaustrasse 19,13101039,regional,,,-,
