,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
0,27.6.2001,2001/362,Jürg R. Schüepp,FDP,Ronald Schmid,FDP,
1,5.4.2000,2000/171,Romana Leuzinger,SP,Vreni Hollenweger,SP,Schul- und Sportdepartement (SSD)
2,14.03.2012,2012/99,Gian von Planta,GLP,Guido Trevisan,GLP,
3,02.07.2014,2014/227,Markus Knauss,Grüne,Felix Moser,Grüne,Polizeidepartement (PD)
4,05.10.2011,2011/376,Roger Bartholdi,SVP,Roland Scheck,SVP,
5,25.11.2009,2009/562,Kurt Hüssy,SVP,Peter Anderegg,EVP,Polizeidepartement (PD)
6,20.12.2000,2000/617,Arthur Bernet,SVP,Raphaela-Franziska Ulcay-Hauser,SVP,Gesundheits- und Umweltdepartement (GUD)
7,03.06.2009,2009/238,Guido Bergmaier,SVP,Martin Bürlimann,SVP,Tiefbau- und Entsorgungsdepartement (TED)
8,21.8.2002,2002/289,Markus Schwyn,PFZ,Monika Erfigen,SVP,Hochbaudepartement (HBD)
9,29.3.2000,2000/159,Mauro Tuena,SVP,Jürg Casparis,SVP,Polizeidepartement (PD)
10,20.09.2017,2017/327,Guy Krayenbühl,GLP,Pirmin Meyer,GLP,Präsidialdepartement (PRD)
11,20.04.2016,2016/134,Michael Kraft,SP,Ursula Näf,SP,Stadtrat
12,22.8.2007,2007/455,Markus Schwyn,PFZ,Susi Gut,PFZ,Gesundheits- und Umweltdepartement (GUD)
13,20.06.2012,2012/262,Michèle Halser-Furrer,EVP,Gerhard Bosshard,EVP,Hochbaudepartement (HBD)
14,3.5.2006,2006/134,Richard Rabelbauer,EVP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
15,21.8.2002,2002/276,Werner Sieg,SP,Peter Stähli-Barth,SP,
16,26.05.2010,2008/16,Rebekka Wyler,SP,Pierino Cerliani,Grüne,
17,29.02.2012,2012/66,Bruno Amacker,SVP,Roger Bartholdi,SVP,Departement der Industriellen Betriebe (DIB)
18,13.5.1998,1998/146,Luzi Rüegg,SVP,Lorenz Habicher,SVP,Tiefbau- und Entsorgungsdepartement (TED)
19,30.8.2000,2000/415,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
20,7.1.2004,2004/3,Mauro Tuena,SVP,Roger Liebi,SVP,Polizeidepartement (PD)
21,08.11.2006,2006/487,Daniela Schicker,AL,Alecs Recher,AL,Schul- und Sportdepartement (SSD)
22,16.05.2013,2005/550,Mario Mariani,CVP,Muriel Herzig,Grüne,
23,29.09.2010,2010/415,Urs Weiss,SVP,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
24,18.05.2011,2011/160,Roger Bartholdi,SVP,Roland Scheck,SVP,Sozialdepartement (SD)
25,06.10.2010,2010/429,Michael Baumer,FDP,Theresa G. Hensch-Stadelmann,FDP,Finanzdepartement (FD)
26,9.2.2005,2005/42,Susi Gut,PFZ,Roger Liebi,SVP,Stadtschreiber/in (STS)
27,09.01.2019,2019/6,Përparim Avdili,FDP,Albert Leiser,FDP,
28,5.12.2007,2007/643,Markus Schwyn,PFZ,Susi Gut,PFZ,
29,17.12.2003,2003/501,Mauro Tuena,SVP,Roger Liebi,SVP,Präsidialdepartement (PRD)
30,28.10.1998,1998/344,Anita Zimmerling Enkelmann,SP,Judith Bucher,SP,
31,16.12.1998,1998/436,Lorenz Habicher,SVP,Emil Grabherr,SVP,Schul- und Sportdepartement (SSD)
32,6.2.2002,2002/63,Luzi Rüegg,SVP,Rolf André Siegenthaler-Benz,SVP,Polizeidepartement (PD)
33,24.3.1999,1999/143,Hans Diem,CVP,Romeo Steiner,CVP,Hochbaudepartement (HBD)
34,26.09.2018,2018/375,Ezgi Akyol,AL,Anjushka Früh,SP,Stadtrat
35,06.05.2009,2009/172,Monjek Rosenheim,FDP,Urs Egger,FDP,Schul- und Sportdepartement (SSD)
36,19.4.2000,2000/207,Raphaela-Franziska Ulcay-Hauser,SVP,Beatrix Casutt,SVP,Tiefbau- und Entsorgungsdepartement (TED)
37,31.10.2018,2018/413,Ernst Danner,EVP,Raphael Kobler,FDP,
38,26.10.2005,2005/424,Roger Liebi,SVP,Martin Burger,SVP,Finanzdepartement (FD)
39,1.12.2004,2004/637,Corine Mauch,SP,Albert Leiser,FDP,
40,11.11.2015,2015/356,Hans Urs von Matt,SP,Marcel Savarioud,SP,
41,06.05.2009,2009/166,Claudia Simon,FDP,Michael Baumer,FDP,Polizeidepartement (PD)
42,21.04.2010,2010/207,Bruno Sidler,SVP,Theo Hauri,SVP,Geschäftsbericht Stadtrat
43,11.12.2009,2009/600,Daniel Leupi,Grüne,Karin Rykart Sutter,Grüne,Finanzdepartement (FD)
44,24.3.2004,2004/151,Erika Bärtschi Hafner,FDP,Theresa G. Hensch-Stadelmann,FDP,Hochbaudepartement (HBD)
45,19.09.2018,2018/361,Matthias Probst,Grüne,Guido Hüni,GLP,Stadtrat
46,31.3.2004,2004/179,Monika Erfigen,SVP,Roger Bartholdi,SVP,Finanzdepartement (FD)
47,04.03.2009,2009/81,Patrick Blöchlinger,SD,Ueli Brasser,SD,Departement der Industriellen Betriebe (DIB)
48,04.06.2014,2014/179,Markus Knauss,Grüne,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
49,15.11.2000,2000/549,Köbi Möri,Parteilos,Hansruedi Bär,SVP,Tiefbau- und Entsorgungsdepartement (TED)
50,14.03.2012,2012/100,Cäcilia Hänni-Etter,FDP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
51,3.12.2003,2003/461,Monika Erfigen,SVP,Cornelia Schaub,SVP,Präsidialdepartement (PRD)
52,11.07.2012,2006/256,Daniel Leupi,Grüne,Bastien Girod,Grüne,
53,20.8.2003,2003/307,Doris Fiala,FDP,Catrina Luchsinger Gähwiler,FDP,Polizeidepartement (PD)
54,27.1.1999,1999/31,Thomas Marthaler,SP,Jeannette Linggi Werner,SP,
55,16.06.2010,2007/53,Katrin Schönenberger-Meier,EVP,Thomas  Kappeler,CVP,
56,11.06.2014,2014/186,Alan David Sangines,SP,Matthias Probst,Grüne,Stadtrat
57,7.4.2004,2004/192,Daniel Leupi,Grüne,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
58,15.05.2019,2019/199,Peter Anderegg,EVP,Ernst Danner,EVP,Stadtrat
59,9.2.2000,2000/72,Theo Hauri,SVP,Jürg Casparis,SVP,Tiefbau- und Entsorgungsdepartement (TED)
60,22.11.2006,2006/518,Mauro Tuena,SVP,Hedy Schlatter,SVP,Präsidialdepartement (PRD)
61,13.05.2009,2009/199,Katrin Wüthrich,SP,Jean-Daniel Strub,SP,Finanzdepartement (FD)
62,18.8.2004,2004/421,Markus Schwyn,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
63,30.08.2017,2017/290,Balz Bürgisser,Grüne,Rosa Maino,AL,Stadtrat
64,20.05.2015,2015/140,Roberto Bertozzi,SVP,Samuel Balsiger,SVP,Sozialdepartement (SD)
65,08.06.2011,2011/202,Christoph Spiess,SD,Patrick Blöchlinger,SD,Tiefbau- und Entsorgungsdepartement (TED)
66,23.5.2007,2007/284,Richard Rabelbauer,EVP,Ernst Danner,EVP,Schul- und Sportdepartement (SSD)
67,13.4.2005,2005/140,Rolf Stucker,SVP,Guido Bergmaier,SVP,Polizeidepartement (PD)
68,29.03.2017,2017/81,Ezgi Akyol,AL,David Garcia Nuñez,AL,
69,5.1.2000,2000/7,Thomas Meier,SVP,Rolf André Siegenthaler-Benz,SVP,Departement der Industriellen Betriebe (DIB)
70,06.03.2019,2019/84,Ernst Danner,EVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
71,20.4.2005,2005/168,Muriel Herzig,Grüne,Ueli Nagel,Grüne,Polizeidepartement (PD)
72,7.11.2001,2001/558,Anna Brändle Galliker,SP,Benjamin  Naef,SP,Schul- und Sportdepartement (SSD)
73,18.8.2004,2004/409,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
74,24.11.1999,1999/590,Susanne Erdös-Schärer,SP,Maya Burri-Wenger,SP,Schul- und Sportdepartement (SSD)
75,10.06.2015,2015/183,Severin Pflüger,FDP,Christian Huser,FDP,
76,05.12.2012,2012/464,Marc Bourgeois,FDP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
77,9.5.2007,2007/247,Bernhard im Oberdorf,SVP,Hans Nikles,SVP,Tiefbau- und Entsorgungsdepartement (TED)
78,18.5.2005,2005/197,Susi Gut,PFZ,Cornelia Schaub,SVP,Schul- und Sportdepartement (SSD)
79,6.11.2002,2002/470,Ernst Danner,EVP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
80,03.10.2007,2007/535,Alecs Recher,AL,Peider Filli,Grüne,
81,12.07.2017,2017/247,Ursula Uttinger,FDP,Marco Denoth,SP,Stadtrat
82,9.4.2003,2003/139,Peter Stähli-Barth,SP,Hans Jörg Käppeli,SP,Hochbaudepartement (HBD)
83,30.01.2019,2019/47,Mathias Manz,SP,Ursula Näf,SP,Stadtrat
84,05.12.2012,2012/458,Mauro Tuena,SVP,Roland Scheck,SVP,Tiefbau- und Entsorgungsdepartement (TED)
85,27.01.2010,2010/63,Christine Seidler,SP,Ueli Nagel,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
86,30.01.2019,2019/53,David Garcia Nuñez,AL,Christina Schiller,AL,Stadtrat
87,10.04.2013,2013/138,Christoph Spiess,SD,Patrick Blöchlinger,SD,Präsidialdepartement (PRD)
88,30.01.2019,2019/52,Alexander Brunner,FDP,Pablo Bünger,FDP,Gemeinderat
89,05.12.2012,2012/459,Mauro Tuena,SVP,Roland Scheck,SVP,Tiefbau- und Entsorgungsdepartement (TED)
90,30.01.2019,2019/46,Markus Baumann,GLP,Marco Denoth,SP,Gemeinderat
91,9.4.2003,2003/138,Hans Marolf,SVP,Rolf Stucker,SVP,Polizeidepartement (PD)
92,27.01.2010,2010/62,Christine Seidler,SP,Ueli Nagel,Grüne,Hochbaudepartement (HBD)
93,6.11.2002,2002/465,Roger Liebi,SVP,Roger Bartholdi,SVP,Finanzdepartement (FD)
94,09.05.2007,2007/252,Claudia Simon,FDP,Albert Leiser,FDP,Polizeidepartement (PD)
95,26.11.2014,2014/385,Andrea Leitner Verhoeven,AL,Walter Angst,AL,
96,22.1.2003,2003/22,Luzi Rüegg,SVP,Bernhard im Oberdorf,SVP,Präsidialdepartement (PRD)
97,10.06.2015,2015/182,Alan David Sangines,SP,Rebekka Wyler,SP,
98,6.11.2002,2002/471,Monika Erfigen,SVP,Karin Peter,SVP,Schul- und Sportdepartement (SSD)
99,9.5.2007,2007/246,Albert Leiser,FDP,Claudia Simon,FDP,Tiefbau- und Entsorgungsdepartement (TED)
100,13.03.2019,2019/91,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,Gemeinderat
