,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
0,25.11.2009,2009/562,Kurt Hüssy,SVP,rechts,Peter Anderegg,EVP,mitte,Polizeidepartement (PD)
1,28.09.2011,2011/362,Alecs Recher,AL,links,Maleica Landolt,GLP,mitte,Finanzdepartement (FD)
2,20.10.2004,2004/541,Niklaus Scherr,AL,links,Kurt Maeder,CVP,mitte,Hochbaudepartement (HBD)
3,16.05.2013,2005/550,Mario Mariani,CVP,mitte,Muriel Herzig,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
4,06.01.2016,2016/16,Christina Schiller,AL,links,Mario Babini,Parteilos,mitte,Polizeidepartement (PD)
5,31.10.2018,2018/413,Ernst Danner,EVP,mitte,Raphael Kobler,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
6,1.12.2004,2004/637,Corine Mauch,SP,links,Albert Leiser,FDP,rechts,Finanzdepartement (FD)
7,19.09.2018,2018/361,Matthias Probst,Grüne,links,Guido Hüni,GLP,mitte,Gesundheits- und Umweltdepartement (GUD)
8,15.11.2000,2000/549,Köbi Möri,Parteilos,mitte,Hansruedi Bär,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
9,14.03.2012,2012/100,Cäcilia Hänni-Etter,FDP,rechts,Markus Hungerbühler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
10,22.06.2016,2016/242,Christian Traber,CVP,mitte,Urs Helfenstein,SP,links,Schul- und Sportdepartement (SSD)
11,7.4.2004,2004/192,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
12,06.03.2019,2019/84,Ernst Danner,EVP,mitte,Albert Leiser,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
13,12.07.2017,2017/247,Ursula Uttinger,FDP,rechts,Marco Denoth,SP,links,Finanzdepartement (FD)
14,10.04.2013,2013/139,Ursula Uttinger,FDP,rechts,Irene Bernhard,GLP,mitte,Sozialdepartement (SD)
15,30.01.2019,2019/46,Markus Baumann,GLP,mitte,Marco Denoth,SP,links,Gesundheits- und Umweltdepartement (GUD)
16,05.12.2012,2012/465,Michèle Halser-Furrer,EVP,mitte,Thomas Wyss,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
17,13.03.2019,2019/91,Balz Bürgisser,Grüne,links,Yasmine Bourgeois,FDP,rechts,Schul- und Sportdepartement (SSD)
18,18.04.2018,2018/162,Elisabeth Schoch,FDP,rechts,Guy Krayenbühl,GLP,mitte,Gesundheits- und Umweltdepartement (GUD)
19,06.07.2016,2016/257,Jonas Steiner,SP,links,Ursula Uttinger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
20,11.06.2014,2014/187,Peter Küng,SP,links,Gian von Planta,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
21,31.01.2007,2007/52,Daniel Meier,CVP,mitte,Albert Leiser,FDP,rechts,Hochbaudepartement (HBD)
23,21.6.2006,2006/257,Heinz Jacobi,SP,links,Robert Schönbächler,CVP,mitte,Departement der Industriellen Betriebe (DIB)
24,14.03.2012,2012/101,Cäcilia Hänni-Etter,FDP,rechts,Isabel Garcia,GLP,mitte,Departement der Industriellen Betriebe (DIB)
25,27.1.1999,1999/30,Hermann Aebi,Parteilos,mitte,Hans Marolf,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
26,22.6.2005,2003/306,Robert Schönbächler,CVP,mitte,Daniel Leupi,Grüne,links,Polizeidepartement (PD)
27,04.06.2014,2014/178,Ursula Uttinger,FDP,rechts,Markus Baumann,GLP,mitte,Sozialdepartement (SD)
28,11.11.2015,2015/357,Markus Hungerbühler,CVP,mitte,Raphael Kobler,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
29,24.3.2004,2004/150,Albert Leiser,FDP,rechts,Peter Püntener,GLP,mitte,Schul- und Sportdepartement (SSD)
30,16.12.2009,2009/601,Bruno Wohler,SVP,rechts,Thomas Wyss,Grüne,links,Hochbaudepartement (HBD)
31,30.09.2009,2007/642,Daniel Leupi,Grüne,links,Roger Tognella,FDP,rechts,Hochbaudepartement (HBD)
32,16.12.2016,2016/451,Mario Mariani,CVP,mitte,Heinz F. Steger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
33,18.05.2011,2005/551,Bernhard Piller,Grüne,links,Mario Mariani,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
34,8.2.2005,2005/223,Corine Mauch,SP,links,Ernst Danner,EVP,mitte,Departement der Industriellen Betriebe (DIB)
35,3.5.2006,2006/135,Judith Bucher,SP,links,Christian Traber,CVP,mitte,Sozialdepartement (SD)
36,10.11.2004,2004/583,Thomas Marthaler,SP,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
37,20.04.2016,2016/135,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
38,13.05.2009,2009/205,Heinz F. Steger,FDP,rechts,Jacqueline Badran,SP,links,"Finanzdepartement (FD), Hochbaudepartement (HBD), Präsidialdepartement (PRD)"
39,25.11.2009,2009/563,Pierino Cerliani,Grüne,links,Mario Mariani,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
40,08.01.20,2014/230,Marcel Schönbächler,CVP,mitte,Peter Küng,SP,links,Finanzdepartement (FD)
41,25.11.2009,2009/561,Daniel Regli,SVP,rechts,Peter Anderegg,EVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
42,25.11.2009,2009/549,Walter Angst,AL,links,Jean-Claude Virchaux,CVP,mitte,Finanzdepartement (FD)
43,21.09.2011,2011/349,Dorothea Frei,SP,links,Roger Tognella,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
44,15.01.2020,2020/14,Marcel Müller,FDP,rechts,Pascal Lamprecht,SP,links,Sicherheitsdepartement (SID)
45,04.02.2015,2015/44,Markus Knauss,Grüne,links,Guido Trevisan,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
46,20.04.2016,2016/137,Marcel Tobler,SP,links,Markus Hungerbühler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
47,18.1.2006,2006/10,Roger Tognella,FDP,rechts,Gerold Lauber,CVP,mitte,Sozialdepartement (SD)
48,29.09.2010,2010/416,Gabriele Kisker,Grüne,links,Samuel Dubno,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
