,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
0,16.05.2013,2005/550,Mario Mariani,CVP,mitte,Muriel Herzig,Grüne,links,
1,1.12.2004,2004/637,Corine Mauch,SP,links,Albert Leiser,FDP,rechts,
2,19.09.2018,2018/361,Matthias Probst,Grüne,links,Guido Hüni,GLP,mitte,Stadtrat
3,7.4.2004,2004/192,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
4,12.07.2017,2017/247,Ursula Uttinger,FDP,rechts,Marco Denoth,SP,links,Stadtrat
5,30.01.2019,2019/46,Markus Baumann,GLP,mitte,Marco Denoth,SP,links,Gemeinderat
6,13.03.2019,2019/91,Balz Bürgisser,Grüne,links,Yasmine Bourgeois,FDP,rechts,Gemeinderat
7,06.07.2016,2016/257,Jonas Steiner,SP,links,Ursula Uttinger,FDP,rechts,Stadtrat
8,11.06.2014,2014/187,Peter Küng,SP,links,Gian von Planta,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
9,21.6.2006,2006/257,Heinz Jacobi,SP,links,Robert Schönbächler,CVP,mitte,Departement der Industriellen Betriebe (DIB)
10,22.6.2005,2003/306,Robert Schönbächler,CVP,mitte,Daniel Leupi,Grüne,links,
11,16.12.2009,2009/601,Bruno Wohler,SVP,rechts,Thomas Wyss,Grüne,links,Hochbaudepartement (HBD)
12,30.09.2009,2007/642,Daniel Leupi,Grüne,links,Roger Tognella,FDP,rechts,
13,18.05.2011,2005/551,Bernhard Piller,Grüne,links,Mario Mariani,CVP,mitte,
14,8.2.2005,2005/223,Corine Mauch,SP,links,Ernst Danner,EVP,mitte,
15,3.5.2006,2006/135,Judith Bucher,SP,links,Christian Traber,CVP,mitte,
16,10.11.2004,2004/583,Thomas Marthaler,SP,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
17,20.04.2016,2016/135,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Stadtrat
18,08.01.20,2014/230,Marcel Schönbächler,CVP,mitte,Peter Küng,SP,links,
19,25.11.2009,2009/549,Walter Angst,AL,links,Jean-Claude Virchaux,CVP,mitte,
20,21.09.2011,2011/349,Dorothea Frei,SP,links,Roger Tognella,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
21,04.02.2015,2015/44,Markus Knauss,Grüne,links,Guido Trevisan,GLP,mitte,
22,20.04.2016,2016/137,Marcel Tobler,SP,links,Markus Hungerbühler,CVP,mitte,
23,29.09.2010,2010/416,Gabriele Kisker,Grüne,links,Samuel Dubno,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
24,9.2.2005,2005/41,Robert Schönbächler,CVP,mitte,Heinz Bögle,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
25,1.12.2004,2004/634,Maya Burri-Wenger,SP,links,Gerold Lauber,CVP,mitte,
26,11.12.1996,2006/255,Bastien Girod,Grüne,links,Ernst Danner,EVP,mitte,
27,12.07.2017,2017/244,Roger Liebi,SVP,rechts,Markus Knauss,Grüne,links,
29,03.02.2010,2010/74,Bernhard Piller,Grüne,links,Monika Bloch Süss,CSP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
30,27.01.2010,2010/60,Myrtha Meuli,SP,links,Hans Bachmann,FDP,rechts,Hochbaudepartement (HBD)
31,27.01.2010,2010/61,Monika Bloch Süss,CSP,mitte,Bernhard Jüsi,SP,links,Polizeidepartement (PD)
32,03.02.2010,2010/75,Monika Bloch Süss,CSP,mitte,Hans Urs von Matt,SP,links,Gesundheits- und Umweltdepartement (GUD)
33,2.4.2008,2008/161,Ueli Nagel,Grüne,links,Claudia Rabelbauer,EVP,mitte,
34,21.04.2010,2010/205,Beat Bloch,CSP,mitte,Thomas Wyss,Grüne,links,Polizeidepartement (PD)
35,26.10.2005,2005/426,Ueli Nagel,Grüne,links,Monjek Rosenheim,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
36,09.01.2019,2019/4,Marcel Müller,FDP,rechts,Pascal Lamprecht,SP,links,Stadtrat
37,20.01.2016,2016/28,Hans Urs von Matt,SP,links,Christian Traber,CVP,mitte,Präsidialdepartement (PRD)
39,21.12.2005,2005/552,Bernhard Piller,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
40,20.04.2016,2016/136,Jonas Steiner,SP,links,Shaibal Roy,GLP,mitte,
41,1.2.2006,2006/39,Mario Mariani,CVP,mitte,Daniel Leupi,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
42,10.6.1998,1998/187,Niklaus Scherr,AL,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
43,28.09.2011,2011/360,Gian von Planta,GLP,mitte,Katrin Wüthrich,SP,links,Geschäftsbericht Stadtrat
44,10.7.2002,2002/258,Daniel Leupi,Grüne,links,Alexander Jäger,FDP,rechts,Geschäftsbericht Stadtrat
46,10.11.2004,2004/584,Thomas Marthaler,SP,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
47,21.09.2016,2016/318,Renate Fischer,SP,links,Isabel Garcia,GLP,mitte,
48,29.06.2016,2016/250,Alan David Sangines,SP,links,Shaibal Roy,GLP,mitte,Sozialdepartement (SD)
49,06.03.2019,2019/82,Roger Bartholdi,SVP,rechts,Pascal Lamprecht,SP,links,Stadtrat
50,09.04.2008,2008/171,Martin Sarbach,SP,links,Mario Mariani,CVP,mitte,Hochbaudepartement (HBD)
51,26.3.2003,2003/117,Emil Seliner,SP,links,Robert Schönbächler,CVP,mitte,
52,18.5.2005,2005/191,Beatrice Reimann,SP,links,Ernst Danner,EVP,mitte,Departement der Industriellen Betriebe (DIB)
