,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
0,25.11.2009,2009/562,Kurt Hüssy,SVP,Peter Anderegg,EVP,Polizeidepartement (PD)
1,08.01.2020,2020/2,Marcel Bührig,Grüne,Natascha Wey,SP,Präsidialdepartement (PRD)
2,28.09.2011,2011/362,Alecs Recher,AL,Maleica Landolt,GLP,Finanzdepartement (FD)
3,20.10.2004,2004/541,Niklaus Scherr,AL,Kurt Maeder,CVP,Hochbaudepartement (HBD)
5,21.8.2002,2002/289,Markus Schwyn,PFZ,Monika Erfigen,SVP,Hochbaudepartement (HBD)
6,23.11.2011,2011/438,Linda Bär,SP,Matthias Probst,Grüne,Präsidialdepartement (PRD)
7,3.5.2006,2006/134,Richard Rabelbauer,EVP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
8,26.05.2010,2008/16,Rebekka Wyler,SP,Pierino Cerliani,Grüne,Finanzdepartement (FD)
9,29.8.2007,2007/469,Peter Anderegg,EVP,Daniel Meier,CVP,Polizeidepartement (PD)
10,30.8.2000,2000/415,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
11,16.05.2013,2005/550,Mario Mariani,CVP,Muriel Herzig,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
12,18.01.2017,2017/9,Andreas Egli,FDP,Stephan Iten,SVP,Finanzdepartement (FD)
13,06.06.2018,2018/215,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
14,9.2.2005,2005/42,Susi Gut,PFZ,Roger Liebi,SVP,Stadtschreiber/in (STS)
15,06.01.2016,2016/16,Christina Schiller,AL,Mario Babini,Parteilos,Polizeidepartement (PD)
16,26.09.2018,2018/375,Ezgi Akyol,AL,Anjushka Früh,SP,Sozialdepartement (SD)
17,31.10.2018,2018/413,Ernst Danner,EVP,Raphael Kobler,FDP,Gesundheits- und Umweltdepartement (GUD)
18,1.12.2004,2004/637,Corine Mauch,SP,Albert Leiser,FDP,Finanzdepartement (FD)
19,19.09.2018,2018/361,Matthias Probst,Grüne,Guido Hüni,GLP,Gesundheits- und Umweltdepartement (GUD)
20,15.11.2000,2000/549,Köbi Möri,Parteilos,Hansruedi Bär,SVP,Tiefbau- und Entsorgungsdepartement (TED)
21,14.03.2012,2012/100,Cäcilia Hänni-Etter,FDP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
22,22.06.2016,2016/242,Christian Traber,CVP,Urs Helfenstein,SP,Schul- und Sportdepartement (SSD)
23,16.06.2010,2007/53,Katrin Schönenberger-Meier,EVP,Thomas  Kappeler,CVP,Departement der Industriellen Betriebe (DIB)
24,11.06.2014,2014/186,Alan David Sangines,SP,Matthias Probst,Grüne,Sozialdepartement (SD)
25,7.4.2004,2004/192,Daniel Leupi,Grüne,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
26,18.8.2004,2004/421,Markus Schwyn,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
27,30.08.2017,2017/290,Balz Bürgisser,Grüne,Rosa Maino,AL,Hochbaudepartement (HBD)
28,06.03.2019,2019/84,Ernst Danner,EVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
29,18.8.2004,2004/409,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
30,18.5.2005,2005/197,Susi Gut,PFZ,Cornelia Schaub,SVP,Schul- und Sportdepartement (SSD)
31,03.10.2007,2007/535,Alecs Recher,AL,Peider Filli,Grüne,Präsidialdepartement (PRD)
32,12.07.2017,2017/247,Ursula Uttinger,FDP,Marco Denoth,SP,Finanzdepartement (FD)
33,27.01.2010,2010/63,Christine Seidler,SP,Ueli Nagel,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
34,10.04.2013,2013/139,Ursula Uttinger,FDP,Irene Bernhard,GLP,Sozialdepartement (SD)
35,30.01.2019,2019/46,Markus Baumann,GLP,Marco Denoth,SP,Gesundheits- und Umweltdepartement (GUD)
36,27.01.2010,2010/62,Christine Seidler,SP,Ueli Nagel,Grüne,Hochbaudepartement (HBD)
37,05.12.2012,2012/465,Michèle Halser-Furrer,EVP,Thomas Wyss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
38,13.03.2019,2019/91,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,Schul- und Sportdepartement (SSD)
39,18.04.2018,2018/162,Elisabeth Schoch,FDP,Guy Krayenbühl,GLP,Gesundheits- und Umweltdepartement (GUD)
40,15.05.2019,2019/198,Olivia Romanelli,AL,Gabriele Kisker,Grüne,Hochbaudepartement (HBD)
41,06.07.2016,2016/257,Jonas Steiner,SP,Ursula Uttinger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
42,11.06.2014,2014/187,Peter Küng,SP,Gian von Planta,GLP,Tiefbau- und Entsorgungsdepartement (TED)
43,31.01.2007,2007/52,Daniel Meier,CVP,Albert Leiser,FDP,Hochbaudepartement (HBD)
45,7.4.2004,2004/193,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
46,21.6.2006,2006/257,Heinz Jacobi,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
47,14.03.2012,2012/101,Cäcilia Hänni-Etter,FDP,Isabel Garcia,GLP,Departement der Industriellen Betriebe (DIB)
48,27.1.1999,1999/30,Hermann Aebi,Parteilos,Hans Marolf,SVP,Tiefbau- und Entsorgungsdepartement (TED)
49,22.6.2005,2003/306,Robert Schönbächler,CVP,Daniel Leupi,Grüne,Polizeidepartement (PD)
50,04.06.2014,2014/178,Ursula Uttinger,FDP,Markus Baumann,GLP,Sozialdepartement (SD)
51,11.11.2015,2015/357,Markus Hungerbühler,CVP,Raphael Kobler,FDP,Gesundheits- und Umweltdepartement (GUD)
52,24.3.2004,2004/150,Albert Leiser,FDP,Peter Püntener,GLP,Schul- und Sportdepartement (SSD)
53,16.12.2009,2009/601,Bruno Wohler,SVP,Thomas Wyss,Grüne,Hochbaudepartement (HBD)
54,7.9.2005,2005/357,Mauro Tuena,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
55,24.11.2004,2004/622,Marlène Butz,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
58,30.09.2009,2007/642,Daniel Leupi,Grüne,Roger Tognella,FDP,Hochbaudepartement (HBD)
59,9.2.2005,2005/43,Mauro Tuena,SVP,Susi Gut,PFZ,Präsidialdepartement (PRD)
60,16.12.2016,2016/451,Mario Mariani,CVP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
61,18.05.2011,2005/551,Bernhard Piller,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
62,01.09.2010,2010/366,Jürg Ammann,Grüne,Helen Glaser,SP,Sozialdepartement (SD)
63,8.2.2005,2005/223,Corine Mauch,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB)
64,4.7.2001,2001/388,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
65,3.5.2006,2006/135,Judith Bucher,SP,Christian Traber,CVP,Sozialdepartement (SD)
66,10.11.2004,2004/583,Thomas Marthaler,SP,Christian Traber,CVP,Polizeidepartement (PD)
67,20.04.2016,2016/135,Pascal Lamprecht,SP,Markus Baumann,GLP,Tiefbau- und Entsorgungsdepartement (TED)
68,24.1.2001,2001/27,Christian Mettler,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
70,13.05.2009,2009/205,Heinz F. Steger,FDP,Jacqueline Badran,SP,"Finanzdepartement (FD), Hochbaudepartement (HBD), Präsidialdepartement (PRD)"
71,20.12.2000,2000/616,Markus Schwyn,PFZ,Christian Mettler,SVP,Sozialdepartement (SD)
72,25.11.2009,2009/563,Pierino Cerliani,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
74,08.01.20,2014/230,Marcel Schönbächler,CVP,Peter Küng,SP,Finanzdepartement (FD)
75,25.11.2009,2009/561,Daniel Regli,SVP,Peter Anderegg,EVP,Tiefbau- und Entsorgungsdepartement (TED)
76,25.11.2009,2009/549,Walter Angst,AL,Jean-Claude Virchaux,CVP,Finanzdepartement (FD)
77,21.09.2011,2011/349,Dorothea Frei,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
78,15.01.2020,2020/14,Marcel Müller,FDP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID)
79,04.02.2015,2015/44,Markus Knauss,Grüne,Guido Trevisan,GLP,Tiefbau- und Entsorgungsdepartement (TED)
80,20.04.2016,2016/137,Marcel Tobler,SP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
81,30.1.91,1991/56,Werner Furrer,SVP,Paul Kleger,FDP,Hochbaudepartement (HBD)
82,18.1.2006,2006/10,Roger Tognella,FDP,Gerold Lauber,CVP,Sozialdepartement (SD)
83,12.7.2000,2000/364,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
84,29.09.2010,2010/416,Gabriele Kisker,Grüne,Samuel Dubno,GLP,Tiefbau- und Entsorgungsdepartement (TED)
85,17.12.2003,2003/502,Markus Schwyn,PFZ,Monika Erfigen,SVP,Sozialdepartement (SD)
86,9.2.2005,2005/41,Robert Schönbächler,CVP,Heinz Bögle,SP,Tiefbau- und Entsorgungsdepartement (TED)
87,31.01.2018,2018/38,Alexander Brunner,FDP,Shaibal Roy,GLP,Finanzdepartement (FD)
88,03.07.2013,2013/258,Ann-Catherine Nabholz,GLP,Heinz F. Steger,FDP,Hochbaudepartement (HBD)
89,16.12.2009,2009/603,Mario Mariani,CVP,Hanspeter Kunz,EVP,Polizeidepartement (PD)
90,26.10.2005,2005/427,Robert Schönbächler,CVP,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
91,24.10.2018,2018/404,Yasmine Bourgeois,FDP,Susanne Brunner,SVP,Tiefbau- und Entsorgungsdepartement (TED)
92,1.12.2004,2004/634,Maya Burri-Wenger,SP,Gerold Lauber,CVP,Finanzdepartement (FD)
93,10.12.2003,2003/489,Oliver B. Meier,SVP,Gerold Lauber,CVP,Hochbaudepartement (HBD)
94,23.01.2013,2013/25,Pawel Silberring,SP,Christian Traber,CVP,Sozialdepartement (SD)
95,14.03.2012,2012/103,Simon Kälin-Werth,Grüne,Marlène Butz,SP,Tiefbau- und Entsorgungsdepartement (TED)
96,11.12.1996,2006/255,Bastien Girod,Grüne,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
97,9.2.2000,2000/65,Jürg R. Schüepp,FDP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
98,7.2.2007,2007/78,Alecs Recher,AL,Peider Filli,Grüne,Stadtschreiber/in (STS)
99,04.02.2009,2009/55,Esther Straub,SP,Gabriele Kisker,Grüne,Gesundheits- und Umweltdepartement (GUD)
100,09.04.2008,2008/174,Richard Rabelbauer,EVP,Esther Ponti-Weder,CVP,Schul- und Sportdepartement (SSD)
101,18.04.2018,2018/160,Jean-Daniel Strub,SP,Andreas Kirstein,AL,Präsidialdepartement (PRD)
