,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
0,25.11.2009,2009/562,Kurt Hüssy,SVP,Peter Anderegg,EVP,Polizeidepartement (PD)
1,21.8.2002,2002/289,Markus Schwyn,PFZ,Monika Erfigen,SVP,Hochbaudepartement (HBD)
2,3.5.2006,2006/134,Richard Rabelbauer,EVP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
3,26.05.2010,2008/16,Rebekka Wyler,SP,Pierino Cerliani,Grüne,
4,30.8.2000,2000/415,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
5,16.05.2013,2005/550,Mario Mariani,CVP,Muriel Herzig,Grüne,
6,9.2.2005,2005/42,Susi Gut,PFZ,Roger Liebi,SVP,Stadtschreiber/in (STS)
7,26.09.2018,2018/375,Ezgi Akyol,AL,Anjushka Früh,SP,Stadtrat
8,31.10.2018,2018/413,Ernst Danner,EVP,Raphael Kobler,FDP,
9,1.12.2004,2004/637,Corine Mauch,SP,Albert Leiser,FDP,
10,19.09.2018,2018/361,Matthias Probst,Grüne,Guido Hüni,GLP,Stadtrat
11,15.11.2000,2000/549,Köbi Möri,Parteilos,Hansruedi Bär,SVP,Tiefbau- und Entsorgungsdepartement (TED)
12,14.03.2012,2012/100,Cäcilia Hänni-Etter,FDP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
13,16.06.2010,2007/53,Katrin Schönenberger-Meier,EVP,Thomas  Kappeler,CVP,
14,11.06.2014,2014/186,Alan David Sangines,SP,Matthias Probst,Grüne,Stadtrat
15,7.4.2004,2004/192,Daniel Leupi,Grüne,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
16,18.8.2004,2004/421,Markus Schwyn,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
17,30.08.2017,2017/290,Balz Bürgisser,Grüne,Rosa Maino,AL,Stadtrat
18,06.03.2019,2019/84,Ernst Danner,EVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
19,18.8.2004,2004/409,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
20,18.5.2005,2005/197,Susi Gut,PFZ,Cornelia Schaub,SVP,Schul- und Sportdepartement (SSD)
21,03.10.2007,2007/535,Alecs Recher,AL,Peider Filli,Grüne,
22,12.07.2017,2017/247,Ursula Uttinger,FDP,Marco Denoth,SP,Stadtrat
23,27.01.2010,2010/63,Christine Seidler,SP,Ueli Nagel,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
24,30.01.2019,2019/46,Markus Baumann,GLP,Marco Denoth,SP,Gemeinderat
25,27.01.2010,2010/62,Christine Seidler,SP,Ueli Nagel,Grüne,Hochbaudepartement (HBD)
26,13.03.2019,2019/91,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,Gemeinderat
27,15.05.2019,2019/198,Olivia Romanelli,AL,Gabriele Kisker,Grüne,Gemeinderat
28,06.07.2016,2016/257,Jonas Steiner,SP,Ursula Uttinger,FDP,Stadtrat
29,11.06.2014,2014/187,Peter Küng,SP,Gian von Planta,GLP,Tiefbau- und Entsorgungsdepartement (TED)
