Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement,Block 1,Block 2
2011-09-28,2011/362,Alecs Recher,AL,Maleica Landolt,GLP,Finanzdepartement (FD),links,mitte
2004-10-20,2004/541,Niklaus Scherr,AL,Kurt Maeder,CVP,Hochbaudepartement (HBD),links,mitte
2013-05-16,2005/550,Mario Mariani,CVP,Muriel Herzig,Grüne,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2016-01-06,2016/16,Christina Schiller,AL,Mario Babini,Parteilos,Polizeidepartement (PD),links,mitte
2004-12-01,2004/637,Corine Mauch,SP,Albert Leiser,FDP,Finanzdepartement (FD),links,rechts
2018-09-19,2018/361,Matthias Probst,Grüne,Guido Hüni,GLP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2016-06-22,2016/242,Christian Traber,CVP,Urs Helfenstein,SP,Schul- und Sportdepartement (SSD),mitte,links
2004-04-07,2004/192,Daniel Leupi,Grüne,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2017-07-12,2017/247,Ursula Uttinger,FDP,Marco Denoth,SP,Finanzdepartement (FD),rechts,links
2019-01-30,2019/46,Markus Baumann,GLP,Marco Denoth,SP,Gesundheits- und Umweltdepartement (GUD),mitte,links
2012-12-05,2012/465,Michèle Halser-Furrer,EVP,Thomas Wyss,Grüne,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2019-03-13,2019/91,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,Schul- und Sportdepartement (SSD),links,rechts
2016-07-06,2016/257,Jonas Steiner,SP,Ursula Uttinger,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2014-06-11,2014/187,Peter Küng,SP,Gian von Planta,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2006-06-21,2006/257,Heinz Jacobi,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2005-06-22,2003/306,Robert Schönbächler,CVP,Daniel Leupi,Grüne,Polizeidepartement (PD),mitte,links
2009-12-16,2009/601,Bruno Wohler,SVP,Thomas Wyss,Grüne,Hochbaudepartement (HBD),rechts,links
2009-09-30,2007/642,Daniel Leupi,Grüne,Roger Tognella,FDP,Hochbaudepartement (HBD),links,rechts
2011-05-18,2005/551,Bernhard Piller,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2005-02-08,2005/223,Corine Mauch,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB),links,mitte
2006-05-03,2006/135,Judith Bucher,SP,Christian Traber,CVP,Sozialdepartement (SD),links,mitte
2004-11-10,2004/583,Thomas Marthaler,SP,Christian Traber,CVP,Polizeidepartement (PD),links,mitte
2016-04-20,2016/135,Pascal Lamprecht,SP,Markus Baumann,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2009-05-13,2009/205,Heinz F. Steger,FDP,Jacqueline Badran,SP,"Finanzdepartement (FD), Hochbaudepartement (HBD), Präsidialdepartement (PRD)",rechts,links
2009-11-25,2009/563,Pierino Cerliani,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2014-12-31,2014/230,Marcel Schönbächler,CVP,Peter Küng,SP,Finanzdepartement (FD),mitte,links
2009-11-25,2009/549,Walter Angst,AL,Jean-Claude Virchaux,CVP,Finanzdepartement (FD),links,mitte
2011-09-21,2011/349,Dorothea Frei,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2020-01-15,2020/14,Marcel Müller,FDP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID),rechts,links
2015-02-04,2015/44,Markus Knauss,Grüne,Guido Trevisan,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2016-04-20,2016/137,Marcel Tobler,SP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2010-09-29,2010/416,Gabriele Kisker,Grüne,Samuel Dubno,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2005-02-09,2005/41,Robert Schönbächler,CVP,Heinz Bögle,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2004-12-01,2004/634,Maya Burri-Wenger,SP,Gerold Lauber,CVP,Finanzdepartement (FD),links,mitte
2013-01-23,2013/25,Pawel Silberring,SP,Christian Traber,CVP,Sozialdepartement (SD),links,mitte
1996-12-11,2006/255,Bastien Girod,Grüne,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2017-07-12,2017/244,Roger Liebi,SVP,Markus Knauss,Grüne,Präsidialdepartement (PRD),rechts,links
2010-01-27,2010/60,Myrtha Meuli,SP,Hans Bachmann,FDP,Hochbaudepartement (HBD),links,rechts
2002-12-31,2002/300,Joe A. Manser,SP,Andreas J. Schlegel,FDP,Schul- und Sportdepartement (SSD),links,rechts
2008-04-02,2008/161,Ueli Nagel,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD),links,mitte
2011-06-15,2011/214,Isabel Garcia,GLP,Fiammetta Jahreiss-Montagnani,SP,Schul- und Sportdepartement (SSD),mitte,links
2005-10-26,2005/426,Ueli Nagel,Grüne,Monjek Rosenheim,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2019-01-09,2019/4,Marcel Müller,FDP,Pascal Lamprecht,SP,Hochbaudepartement (HBD),rechts,links
2016-01-20,2016/28,Hans Urs von Matt,SP,Christian Traber,CVP,Präsidialdepartement (PRD),links,mitte
2018-06-06,2018/217,Guido Hüni,GLP,Andreas Kirstein,AL,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2005-12-21,2005/552,Bernhard Piller,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2007-08-22,2007/457,Robert Schönbächler,CVP,Heinz Jacobi,SP,Departement der Industriellen Betriebe (DIB),mitte,links
2016-04-20,2016/136,Jonas Steiner,SP,Shaibal Roy,GLP,Schul- und Sportdepartement (SSD),links,mitte
2006-02-01,2006/39,Mario Mariani,CVP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
1998-06-10,1998/187,Niklaus Scherr,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2011-09-28,2011/360,Gian von Planta,GLP,Katrin Wüthrich,SP,Polizeidepartement (PD),mitte,links
2002-07-10,2002/258,Daniel Leupi,Grüne,Alexander Jäger,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2004-11-10,2004/584,Thomas Marthaler,SP,Christian Traber,CVP,Polizeidepartement (PD),links,mitte
2006-11-15,2006/495,Gregor Bucher,Grüne,Ernst Danner,EVP,Präsidialdepartement (PRD),links,mitte
2016-09-21,2016/318,Renate Fischer,SP,Isabel Garcia,GLP,Hochbaudepartement (HBD),links,mitte
2006-08-23,2006/330,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2016-06-29,2016/250,Alan David Sangines,SP,Shaibal Roy,GLP,Sozialdepartement (SD),links,mitte
2019-03-06,2019/82,Roger Bartholdi,SVP,Pascal Lamprecht,SP,Schul- und Sportdepartement (SSD),rechts,links
2008-04-09,2008/171,Martin Sarbach,SP,Mario Mariani,CVP,Hochbaudepartement (HBD),links,mitte
2003-03-26,2003/117,Emil Seliner,SP,Robert Schönbächler,CVP,Finanzdepartement (FD),links,mitte
2005-05-18,2005/191,Beatrice Reimann,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB),links,mitte
2015-06-10,2015/184,Matthias Probst,Grüne,Guido Trevisan,GLP,Polizeidepartement (PD),links,mitte
2010-03-17,2003/116,Emil Seliner,SP,Robert Schönbächler,CVP,Finanzdepartement (FD),links,mitte
2017-08-23,2017/268,Sven Sobernheim,GLP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID),mitte,links
2009-02-04,2009/45,Ueli Nagel,Grüne,Claudia Simon,FDP,Schul- und Sportdepartement (SSD),links,rechts
2018-10-24,2018/399,Eduard Guggenheim,AL,Stefan Urech,SVP,Hochbaudepartement (HBD),links,rechts
2003-12-17,2003/499,Thomas Marthaler,SP,Christian Traber,CVP,Schul- und Sportdepartement (SSD),links,mitte
2005-02-09,2005/51,Marianne Dubs Früh,SP,Kurt Maeder,CVP,Polizeidepartement (PD),links,mitte
1998-10-28,1998/343,Beat Badertscher,FDP,Peter Stähli-Barth,SP,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2016-09-21,2016/319,Marcel Bührig,Grüne,Sven Sobernheim,GLP,Sicherheitsdepartement (SID),links,mitte
2005-06-08,2005/225,Marianne Dubs Früh,SP,Kurt Maeder,CVP,Polizeidepartement (PD),links,mitte
1999-07-14,1999/346,Niklaus Scherr,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2009-12-11,2009/598,Christian Traber,CVP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2018-01-17,2018/16,Katharina Prelicz-Huber,Grüne,Markus Baumann,GLP,Sozialdepartement (SD),links,mitte
1998-07-08,1998/221,Rolf Kuhn,SP,Kurt Tschopp,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2016-06-29,2016/253,Ann-Catherine Nabholz,GLP,Jean-Daniel Strub,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2019-03-06,2019/81,Nicole Giger,SP,Andri Silberschmidt,FDP,Sicherheitsdepartement (SID),links,rechts
2019-09-18,2017/243,Marco Denoth,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2017-03-15,2017/52,Roger-Paul Speck,SP,Markus Merki,GLP,Schul- und Sportdepartement (SSD),links,mitte
2009-09-16,2009/406,Alexander Jäger,FDP,Bernhard Piller,Grüne,Departement der Industriellen Betriebe (DIB),rechts,links
2004-08-18,2004/419,Andreas Ammann,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2016-06-29,2016/252,Christina Schiller,AL,Guy Krayenbühl,GLP,Departement der Industriellen Betriebe (DIB),links,mitte
2013-09-11,2013/317,Peter Küng,SP,Michael Schmid,FDP,Schul- und Sportdepartement (SSD),links,rechts
2016-08-31,2016/291,Markus Merki,GLP,Pascal Lamprecht,SP,Präsidialdepartement (PRD),mitte,links
2006-07-05,2006/291,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2005-10-05,2005/408,Christine Seidler,SP,Gerold Lauber,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2013-07-03,2013/263,Alexander Jäger,FDP,Kyriakos Papageorgiou,SP,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2006-11-01,2006/468,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
1999-07-14,1999/345,Markus Bischoff,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2019-05-22,2019/214,Urs Egger,FDP,Anjushka Früh,SP,Schul- und Sportdepartement (SSD),rechts,links
2002-12-20,2002/567,Susann Birrer,FDP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2007-12-31,2007/344,Gregor Bucher,Grüne,Ernst Danner,EVP,Präsidialdepartement (PRD),links,mitte
2017-12-06,2017/436,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID),links,mitte
2008-06-04,2008/262,Erika Bärtschi Hafner,FDP,Joe A. Manser,SP,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2018-07-11,2018/289,Corina Gredig,GLP,Marion Schmid,SP,Gesundheits- und Umweltdepartement (GUD),mitte,links
2014-04-16,2014/126,Pawel Silberring,SP,Christian Traber,CVP,Sozialdepartement (SD),links,mitte
2010-12-01,2010/502,Fabienne Vocat,Grüne,Michael Baumer,FDP,Hochbaudepartement (HBD),links,rechts
2003-11-05,2003/416,Georg Schmid,CVP,Werner Sieg,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2013-02-06,2013/45,Alan David Sangines,SP,Marcel Schönbächler,CVP,Polizeidepartement (PD),links,mitte
2007-01-24,2007/30,Karin Rykart Sutter,Grüne,Astrid Hirzel,CVP,Finanzdepartement (FD),links,mitte
2015-05-20,2015/137,Min Li Marti,SP,Samuel Dubno,GLP,Polizeidepartement (PD),links,mitte
2019-07-03,2019/313,Markus Merki,GLP,Heidi Egger,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2009-09-30,2009/449,Christian Aeschbach,FDP,Christina Hug,Grüne,Departement der Industriellen Betriebe (DIB),rechts,links
2004-02-25,2004/75,Michael Baumer,FDP,Balthasar Glättli,Grüne,Präsidialdepartement (PRD),rechts,links
2006-06-07,2006/220,Richard Rabelbauer,EVP,Bastien Girod,Grüne,Präsidialdepartement (PRD),mitte,links
2013-02-27,2013/50,Ursula Uttinger,FDP,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD),rechts,links
2010-06-16,2010/265,Florian Utz,SP,Guido Trevisan,GLP,Departement der Industriellen Betriebe (DIB),links,mitte
2014-04-16,2014/127,Helen Glaser,SP,Alexander Jäger,FDP,Gesundheits- und Umweltdepartement (GUD),links,rechts
2015-10-21,2015/334,Pascal Lamprecht,SP,Ursula Uttinger,FDP,Gesundheits- und Umweltdepartement (GUD),links,rechts
2013-06-19,2013/239,Gerhard Bosshard,EVP,Esther Straub,SP,Präsidialdepartement (PRD),mitte,links
2018-02-07,2018/65,Michael Kraft,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2007-12-05,2007/635,Walter Angst,AL,Ernst Danner,EVP,Finanzdepartement (FD),links,mitte
2015-08-19,2015/268,Simone Brander,SP,Marc Bourgeois,FDP,Departement der Industriellen Betriebe (DIB),links,rechts
2010-07-14,2010/311,Dorothea Frei,SP,Severin Pflüger,FDP,Finanzdepartement (FD),links,rechts
2007-04-11,2007/184,Marcel Savarioud,SP,Josef Widler,CVP,Sozialdepartement (SD),links,mitte
2006-03-01,2006/65,Niklaus Scherr,AL,Alexander Jäger,FDP,Departement der Industriellen Betriebe (DIB),links,rechts
2017-11-01,2017/379,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID),links,mitte
2016-04-20,2016/142,Sven Sobernheim,GLP,Markus Kunz,Grüne,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2015-01-28,2015/31,Marcel Bührig,Grüne,Markus Hungerbühler,CVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2002-12-20,2002/566,Susann Birrer,FDP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2011-12-07,2011/466,Peter Küng,SP,Marcel Schönbächler,CVP,Schul- und Sportdepartement (SSD),links,mitte
2019-11-20,2019/500,Markus Merki,GLP,Andreas Kirstein,AL,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2009-11-11,2009/516,Heinz F. Steger,FDP,Uschi Heinrich,SP,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2011-08-31,2011/316,Markus Knauss,Grüne,Samuel Dubno,GLP,Polizeidepartement (PD),links,mitte
2008-01-23,2008/62,Christine Seidler,SP,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2007-07-11,2007/409,Kyriakos Papageorgiou,SP,Alexander Jäger,FDP,Departement der Industriellen Betriebe (DIB),links,rechts
2006-09-20,2006/395,Myrtha Meuli,SP,Josef Widler,CVP,Sozialdepartement (SD),links,mitte
2016-10-05,2016/342,Marco Denoth,SP,Martin Luchsinger,GLP,Sicherheitsdepartement (SID),links,mitte
2006-09-27,2006/418,Matthias Probst,Grüne,Richard Rabelbauer,EVP,Präsidialdepartement (PRD),links,mitte
2016-01-06,2016/9,Markus Baumann,GLP,Alan David Sangines,SP,Präsidialdepartement (PRD),mitte,links
2010-12-15,2010/529,Christina Hug,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD),links,mitte
2012-04-18,2012/174,Katrin Wüthrich,SP,Marcel Schönbächler,CVP,Hochbaudepartement (HBD),links,mitte
2006-06-07,2006/222,Christine Seidler,SP,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2006-11-29,2006/550,Markus Knauss,Grüne,Richard Rabelbauer,EVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2006-12-06,2006/578,Marlène Butz,SP,Theresa G. Hensch-Stadelmann,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2012-10-31,2012/389,Min Li Marti,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD),links,mitte
2002-10-02,2002/404,Christoph Hug,Grüne,Gerold Lauber,CVP,Präsidialdepartement (PRD),links,mitte
2017-07-05,2017/227,Heidi Egger,SP,Reto Rudolf,CVP,Sicherheitsdepartement (SID),links,mitte
2019-11-13,2019/489,Pascal Lamprecht,SP,Marcel Müller,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2017-07-05,2017/226,Christine Seidler,SP,Mario Mariani,CVP,Präsidialdepartement (PRD),links,mitte
2019-07-03,2019/311,Zilla Roose,SP,Markus Merki,GLP,Schul- und Sportdepartement (SSD),links,mitte
2012-04-18,2012/175,Daniel Meier,CVP,Florian Utz,SP,Finanzdepartement (FD),mitte,links
2010-06-16,2010/266,Florian Utz,SP,Guido Trevisan,GLP,Polizeidepartement (PD),links,mitte
2018-02-07,2018/66,Marcel Tobler,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD),links,mitte
1999-07-07,1999/320,Kurt Tschopp,CVP,Rolf Kuhn,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
1995-01-11,1993/155,Peter Stähli-Barth,SP,Paul Kleger,FDP,Hochbaudepartement (HBD),links,rechts
2008-02-06,2008/88,Mirella Wepf,SP,Ernst Danner,EVP,Hochbaudepartement (HBD),links,mitte
2001-01-10,2001/6,Joe A. Manser,SP,Guido Wick,FDP,Polizeidepartement (PD),links,rechts
