Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2009-11-25,2009/562,Kurt Hüssy,SVP,Peter Anderegg,EVP,Polizeidepartement (PD)
2020-01-08,2020/2,Marcel Bührig,Grüne,Natascha Wey,SP,Präsidialdepartement (PRD)
2011-09-28,2011/362,Alecs Recher,AL,Maleica Landolt,GLP,Finanzdepartement (FD)
2004-10-20,2004/541,Niklaus Scherr,AL,Kurt Maeder,CVP,Hochbaudepartement (HBD)
2002-08-21,2002/289,Markus Schwyn,PFZ,Monika Erfigen,SVP,Hochbaudepartement (HBD)
2011-11-23,2011/438,Linda Bär,SP,Matthias Probst,Grüne,Präsidialdepartement (PRD)
2006-05-03,2006/134,Richard Rabelbauer,EVP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
2010-05-26,2008/16,Rebekka Wyler,SP,Pierino Cerliani,Grüne,Finanzdepartement (FD)
2007-08-29,2007/469,Peter Anderegg,EVP,Daniel Meier,CVP,Polizeidepartement (PD)
2000-08-30,2000/415,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
2013-05-16,2005/550,Mario Mariani,CVP,Muriel Herzig,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2017-01-18,2017/9,Andreas Egli,FDP,Stephan Iten,SVP,Finanzdepartement (FD)
2018-06-06,2018/215,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
2005-02-09,2005/42,Susi Gut,PFZ,Roger Liebi,SVP,Stadtschreiber/in (STS)
2016-01-06,2016/16,Christina Schiller,AL,Mario Babini,Parteilos,Polizeidepartement (PD)
2018-09-26,2018/375,Ezgi Akyol,AL,Anjushka Früh,SP,Sozialdepartement (SD)
2018-10-31,2018/413,Ernst Danner,EVP,Raphael Kobler,FDP,Gesundheits- und Umweltdepartement (GUD)
2004-12-01,2004/637,Corine Mauch,SP,Albert Leiser,FDP,Finanzdepartement (FD)
2018-09-19,2018/361,Matthias Probst,Grüne,Guido Hüni,GLP,Gesundheits- und Umweltdepartement (GUD)
2000-11-15,2000/549,Köbi Möri,Parteilos,Hansruedi Bär,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2012-03-14,2012/100,Cäcilia Hänni-Etter,FDP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2016-06-22,2016/242,Christian Traber,CVP,Urs Helfenstein,SP,Schul- und Sportdepartement (SSD)
2010-06-16,2007/53,Katrin Schönenberger-Meier,EVP,Thomas  Kappeler,CVP,Departement der Industriellen Betriebe (DIB)
2014-06-11,2014/186,Alan David Sangines,SP,Matthias Probst,Grüne,Sozialdepartement (SD)
2004-04-07,2004/192,Daniel Leupi,Grüne,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2004-08-18,2004/421,Markus Schwyn,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
2017-08-30,2017/290,Balz Bürgisser,Grüne,Rosa Maino,AL,Hochbaudepartement (HBD)
2019-03-06,2019/84,Ernst Danner,EVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2004-08-18,2004/409,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
2005-05-18,2005/197,Susi Gut,PFZ,Cornelia Schaub,SVP,Schul- und Sportdepartement (SSD)
2007-10-03,2007/535,Alecs Recher,AL,Peider Filli,Grüne,Präsidialdepartement (PRD)
2017-07-12,2017/247,Ursula Uttinger,FDP,Marco Denoth,SP,Finanzdepartement (FD)
2010-01-27,2010/63,Christine Seidler,SP,Ueli Nagel,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2013-04-10,2013/139,Ursula Uttinger,FDP,Irene Bernhard,GLP,Sozialdepartement (SD)
2019-01-30,2019/46,Markus Baumann,GLP,Marco Denoth,SP,Gesundheits- und Umweltdepartement (GUD)
2010-01-27,2010/62,Christine Seidler,SP,Ueli Nagel,Grüne,Hochbaudepartement (HBD)
2012-12-05,2012/465,Michèle Halser-Furrer,EVP,Thomas Wyss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2019-03-13,2019/91,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,Schul- und Sportdepartement (SSD)
2018-04-18,2018/162,Elisabeth Schoch,FDP,Guy Krayenbühl,GLP,Gesundheits- und Umweltdepartement (GUD)
2019-05-15,2019/198,Olivia Romanelli,AL,Gabriele Kisker,Grüne,Hochbaudepartement (HBD)
2016-07-06,2016/257,Jonas Steiner,SP,Ursula Uttinger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2014-06-11,2014/187,Peter Küng,SP,Gian von Planta,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2007-01-31,2007/52,Daniel Meier,CVP,Albert Leiser,FDP,Hochbaudepartement (HBD)
2004-04-07,2004/193,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
2006-06-21,2006/257,Heinz Jacobi,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
2012-03-14,2012/101,Cäcilia Hänni-Etter,FDP,Isabel Garcia,GLP,Departement der Industriellen Betriebe (DIB)
1999-01-27,1999/30,Hermann Aebi,Parteilos,Hans Marolf,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2005-06-22,2003/306,Robert Schönbächler,CVP,Daniel Leupi,Grüne,Polizeidepartement (PD)
2014-06-04,2014/178,Ursula Uttinger,FDP,Markus Baumann,GLP,Sozialdepartement (SD)
2015-11-11,2015/357,Markus Hungerbühler,CVP,Raphael Kobler,FDP,Gesundheits- und Umweltdepartement (GUD)
2004-03-24,2004/150,Albert Leiser,FDP,Peter Püntener,GLP,Schul- und Sportdepartement (SSD)
2009-12-16,2009/601,Bruno Wohler,SVP,Thomas Wyss,Grüne,Hochbaudepartement (HBD)
2005-09-07,2005/357,Mauro Tuena,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
2004-11-24,2004/622,Marlène Butz,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2009-09-30,2007/642,Daniel Leupi,Grüne,Roger Tognella,FDP,Hochbaudepartement (HBD)
